id,household_id,name,category,is_healthy,description,prep_time,cook_time,servings,difficulty,meat_type,cuisine_category,ingredients,instructions,nutrition,tags
"r026","clara-pascal","Rindfleisch-Kartoffel-Auflauf mediterran","Abendessen","true","Rindfleisch-Kartoffel-Auflauf mediterran – ein gesundes, hausgemachtes Gericht für zwei Personen.","15","20","2","einfach","rind","auflauf","[{""name"":""Rinderhackfleisch"",""amount"":400,""unit"":""g"",""category"":""fleisch""},{""name"":""Kartoffeln"",""amount"":2,""unit"":""Stück"",""category"":""getreide""},{""name"":""Karotten"",""amount"":2,""unit"":""Stück"",""category"":""gemuese""},{""name"":""Olivenöl"",""amount"":2,""unit"":""EL"",""category"":""sonstiges""},{""name"":""Salz & Pfeffer"",""amount"":1,""unit"":""Prise"",""category"":""gewuerze""}]","[""Alle Zutaten vorbereiten und schneiden."",""Fleisch würzen und in der Pfanne/Ofen garen."",""Weitere Zutaten hinzufügen und nach Rezeptart zubereiten."",""Anrichten und sofort servieren.""]","{""calories"":255,""protein"":20,""carbs"":25,""fat"":13,""fiber"":7}","[""auflauf"",""rind"",""mediterran""]"
"r027","clara-pascal","Paprika-Reis-Auflauf mediterran","Abendessen","true","Paprika-Reis-Auflauf mediterran – ein gesundes, hausgemachtes Gericht für zwei Personen.","16","21","2","einfach","haehnchen","auflauf","[{""name"":""Hähnchenbrust"",""amount"":300,""unit"":""g"",""category"":""fleisch""},{""name"":""Reis"",""amount"":2,""unit"":""Stück"",""category"":""getreide""},{""name"":""Paprika"",""amount"":2,""unit"":""Stück"",""category"":""gemuese""},{""name"":""Tomaten"",""amount"":2,""unit"":""Stück"",""category"":""gemuese""},{""name"":""Olivenöl"",""amount"":2,""unit"":""EL"",""category"":""sonstiges""},{""name"":""Salz & Pfeffer"",""amount"":1,""unit"":""Prise"",""category"":""gewuerze""}]","[""Alle Zutaten vorbereiten und schneiden."",""Fleisch würzen und in der Pfanne/Ofen garen."",""Weitere Zutaten hinzufügen und nach Rezeptart zubereiten."",""Anrichten und sofort servieren.""]","{""calories"":256,""protein"":21,""carbs"":26,""fat"":14,""fiber"":2}","[""auflauf"",""haehnchen"",""mediterran""]"
"r028","clara-pascal","Tomaten-Mozzarella-Auflauf mediterran","Abendessen","true","Tomaten-Mozzarella-Auflauf mediterran – ein gesundes, hausgemachtes Gericht für zwei Personen.","17","22","2","einfach","keins","auflauf","[{""name"":""Tomaten"",""amount"":2,""unit"":""Stück"",""category"":""gemuese""},{""name"":""Zucchini"",""amount"":2,""unit"":""Stück"",""category"":""gemuese""},{""name"":""Olivenöl"",""amount"":2,""unit"":""EL"",""category"":""sonstiges""},{""name"":""Salz & Pfeffer"",""amount"":1,""unit"":""Prise"",""category"":""gewuerze""}]","[""Alle Zutaten vorbereiten und schneiden."",""Gemüse vorbereiten und würzen."",""Weitere Zutaten hinzufügen und nach Rezeptart zubereiten."",""Anrichten und sofort servieren.""]","{""calories"":257,""protein"":22,""carbs"":27,""fat"":15,""fiber"":3}","[""auflauf"",""vegetarisch"",""mediterran""]"
"r029","clara-pascal","Hackfleisch-Lasagne-Röllchen mediterran","Abendessen","true","Hackfleisch-Lasagne-Röllchen mediterran – ein gesundes, hausgemachtes Gericht für zwei Personen.","18","23","2","einfach","rind","auflauf","[{""name"":""Rinderhackfleisch"",""amount"":400,""unit"":""g"",""category"":""fleisch""},{""name"":""Lasagneplatten"",""amount"":2,""unit"":""Stück"",""category"":""getreide""},{""name"":""Tomaten"",""amount"":2,""unit"":""Stück"",""category"":""gemuese""},{""name"":""Olivenöl"",""amount"":2,""unit"":""EL"",""category"":""sonstiges""},{""name"":""Salz & Pfeffer"",""amount"":1,""unit"":""Prise"",""category"":""gewuerze""}]","[""Alle Zutaten vorbereiten und schneiden."",""Fleisch würzen und in der Pfanne/Ofen garen."",""Weitere Zutaten hinzufügen und nach Rezeptart zubereiten."",""Anrichten und sofort servieren.""]","{""calories"":258,""protein"":23,""carbs"":28,""fat"":16,""fiber"":4}","[""auflauf"",""rind"",""mediterran""]"
"r030","clara-pascal","Kartoffel-Hähnchen-Gratin mediterran","Abendessen","true","Kartoffel-Hähnchen-Gratin mediterran – ein gesundes, hausgemachtes Gericht für zwei Personen.","19","24","2","einfach","haehnchen","auflauf","[{""name"":""Hähnchenbrust"",""amount"":300,""unit"":""g"",""category"":""fleisch""},{""name"":""Kartoffeln"",""amount"":2,""unit"":""Stück"",""category"":""getreide""},{""name"":""Sahne"",""amount"":2,""unit"":""Stück"",""category"":""milchprodukte""},{""name"":""Olivenöl"",""amount"":2,""unit"":""EL"",""category"":""sonstiges""},{""name"":""Salz & Pfeffer"",""amount"":1,""unit"":""Prise"",""category"":""gewuerze""}]","[""Alle Zutaten vorbereiten und schneiden."",""Fleisch würzen und in der Pfanne/Ofen garen."",""Weitere Zutaten hinzufügen und nach Rezeptart zubereiten."",""Anrichten und sofort servieren.""]","{""calories"":259,""protein"":24,""carbs"":29,""fat"":17,""fiber"":5}","[""auflauf"",""haehnchen"",""mediterran""]"
"r031","clara-pascal","Hähnchen-Paprika-Pfanne mediterran","Abendessen","true","Hähnchen-Paprika-Pfanne mediterran – ein gesundes, hausgemachtes Gericht für zwei Personen.","20","25","2","einfach","haehnchen","pfanne","[{""name"":""Hähnchenbrust"",""amount"":350,""unit"":""g"",""category"":""fleisch""},{""name"":""Paprika"",""amount"":2,""unit"":""Stück"",""category"":""gemuese""},{""name"":""Tomaten"",""amount"":2,""unit"":""Stück"",""category"":""gemuese""},{""name"":""Zwiebel"",""amount"":2,""unit"":""Stück"",""category"":""gemuese""},{""name"":""Olivenöl"",""amount"":2,""unit"":""EL"",""category"":""sonstiges""},{""name"":""Salz & Pfeffer"",""amount"":1,""unit"":""Prise"",""category"":""gewuerze""}]","[""Alle Zutaten vorbereiten und schneiden."",""Fleisch würzen und in der Pfanne/Ofen garen."",""Weitere Zutaten hinzufügen und nach Rezeptart zubereiten."",""Anrichten und sofort servieren.""]","{""calories"":260,""protein"":25,""carbs"":30,""fat"":18,""fiber"":6}","[""pfanne"",""haehnchen"",""mediterran""]"
"r032","clara-pascal","Rinderstreifen-Pfanne mediterran","Abendessen","true","Rinderstreifen-Pfanne mediterran – ein gesundes, hausgemachtes Gericht für zwei Personen.","21","26","2","einfach","rind","pfanne","[{""name"":""Rinderhackfleisch"",""amount"":400,""unit"":""g"",""category"":""fleisch""},{""name"":""Paprika"",""amount"":2,""unit"":""Stück"",""category"":""gemuese""},{""name"":""Zwiebel"",""amount"":2,""unit"":""Stück"",""category"":""gemuese""},{""name"":""Olivenöl"",""amount"":2,""unit"":""EL"",""category"":""sonstiges""},{""name"":""Salz & Pfeffer"",""amount"":1,""unit"":""Prise"",""category"":""gewuerze""}]","[""Alle Zutaten vorbereiten und schneiden."",""Fleisch würzen und in der Pfanne/Ofen garen."",""Weitere Zutaten hinzufügen und nach Rezeptart zubereiten."",""Anrichten und sofort servieren.""]","{""calories"":261,""protein"":26,""carbs"":31,""fat"":19,""fiber"":7}","[""pfanne"",""rind"",""mediterran""]"
"r033","clara-pascal","Schweinegeschnetzeltes mediterran","Abendessen","true","Schweinegeschnetzeltes mediterran – ein gesundes, hausgemachtes Gericht für zwei Personen.","22","27","2","einfach","schwein","pfanne","[{""name"":""Schweinefleisch"",""amount"":300,""unit"":""g"",""category"":""fleisch""},{""name"":""Paprika"",""amount"":2,""unit"":""Stück"",""category"":""gemuese""},{""name"":""Sahne"",""amount"":2,""unit"":""Stück"",""category"":""milchprodukte""},{""name"":""Olivenöl"",""amount"":2,""unit"":""EL"",""category"":""sonstiges""},{""name"":""Salz & Pfeffer"",""amount"":1,""unit"":""Prise"",""category"":""gewuerze""}]","[""Alle Zutaten vorbereiten und schneiden."",""Fleisch würzen und in der Pfanne/Ofen garen."",""Weitere Zutaten hinzufügen und nach Rezeptart zubereiten."",""Anrichten und sofort servieren.""]","{""calories"":262,""protein"":27,""carbs"":32,""fat"":20,""fiber"":2}","[""pfanne"",""schwein"",""mediterran""]"
"r034","clara-pascal","Hackfleisch-Kartoffel-Pfanne mediterran","Abendessen","true","Hackfleisch-Kartoffel-Pfanne mediterran – ein gesundes, hausgemachtes Gericht für zwei Personen.","23","28","2","einfach","rind","pfanne","[{""name"":""Rinderhackfleisch"",""amount"":350,""unit"":""g"",""category"":""fleisch""},{""name"":""Kartoffeln"",""amount"":2,""unit"":""Stück"",""category"":""getreide""},{""name"":""Zwiebel"",""amount"":2,""unit"":""Stück"",""category"":""gemuese""},{""name"":""Olivenöl"",""amount"":2,""unit"":""EL"",""category"":""sonstiges""},{""name"":""Salz & Pfeffer"",""amount"":1,""unit"":""Prise"",""category"":""gewuerze""}]","[""Alle Zutaten vorbereiten und schneiden."",""Fleisch würzen und in der Pfanne/Ofen garen."",""Weitere Zutaten hinzufügen und nach Rezeptart zubereiten."",""Anrichten und sofort servieren.""]","{""calories"":263,""protein"":28,""carbs"":33,""fat"":21,""fiber"":3}","[""pfanne"",""rind"",""mediterran""]"
"r035","clara-pascal","Hähnchen-Tomaten-Pfanne mediterran","Abendessen","true","Hähnchen-Tomaten-Pfanne mediterran – ein gesundes, hausgemachtes Gericht für zwei Personen.","24","29","2","einfach","haehnchen","pfanne","[{""name"":""Hähnchenbrust"",""amount"":400,""unit"":""g"",""category"":""fleisch""},{""name"":""Tomaten"",""amount"":2,""unit"":""Stück"",""category"":""gemuese""},{""name"":""Paprika"",""amount"":2,""unit"":""Stück"",""category"":""gemuese""},{""name"":""Olivenöl"",""amount"":2,""unit"":""EL"",""category"":""sonstiges""},{""name"":""Salz & Pfeffer"",""amount"":1,""unit"":""Prise"",""category"":""gewuerze""}]","[""Alle Zutaten vorbereiten und schneiden."",""Fleisch würzen und in der Pfanne/Ofen garen."",""Weitere Zutaten hinzufügen und nach Rezeptart zubereiten."",""Anrichten und sofort servieren.""]","{""calories"":264,""protein"":29,""carbs"":34,""fat"":22,""fiber"":4}","[""pfanne"",""haehnchen"",""mediterran""]"
"r036","clara-pascal","Schweinehack-Paprika-Pfanne mediterran","Abendessen","true","Schweinehack-Paprika-Pfanne mediterran – ein gesundes, hausgemachtes Gericht für zwei Personen.","25","30","2","einfach","schwein","pfanne","[{""name"":""Schweinefleisch"",""amount"":300,""unit"":""g"",""category"":""fleisch""},{""name"":""Paprika"",""amount"":2,""unit"":""Stück"",""category"":""gemuese""},{""name"":""Tomaten"",""amount"":2,""unit"":""Stück"",""category"":""gemuese""},{""name"":""Olivenöl"",""amount"":2,""unit"":""EL"",""category"":""sonstiges""},{""name"":""Salz & Pfeffer"",""amount"":1,""unit"":""Prise"",""category"":""gewuerze""}]","[""Alle Zutaten vorbereiten und schneiden."",""Fleisch würzen und in der Pfanne/Ofen garen."",""Weitere Zutaten hinzufügen und nach Rezeptart zubereiten."",""Anrichten und sofort servieren.""]","{""calories"":265,""protein"":30,""carbs"":35,""fat"":23,""fiber"":5}","[""pfanne"",""schwein"",""mediterran""]"
"r037","clara-pascal","Rinderhack-Reis-Pfanne mediterran","Abendessen","true","Rinderhack-Reis-Pfanne mediterran – ein gesundes, hausgemachtes Gericht für zwei Personen.","26","31","2","einfach","rind","pfanne","[{""name"":""Rinderhackfleisch"",""amount"":350,""unit"":""g"",""category"":""fleisch""},{""name"":""Reis"",""amount"":2,""unit"":""Stück"",""category"":""getreide""},{""name"":""Tomaten"",""amount"":2,""unit"":""Stück"",""category"":""gemuese""},{""name"":""Olivenöl"",""amount"":2,""unit"":""EL"",""category"":""sonstiges""},{""name"":""Salz & Pfeffer"",""amount"":1,""unit"":""Prise"",""category"":""gewuerze""}]","[""Alle Zutaten vorbereiten und schneiden."",""Fleisch würzen und in der Pfanne/Ofen garen."",""Weitere Zutaten hinzufügen und nach Rezeptart zubereiten."",""Anrichten und sofort servieren.""]","{""calories"":266,""protein"":31,""carbs"":36,""fat"":24,""fiber"":6}","[""pfanne"",""rind"",""mediterran""]"
"r038","clara-pascal","Hähnchen-Gurken-Pfanne mediterran","Abendessen","true","Hähnchen-Gurken-Pfanne mediterran – ein gesundes, hausgemachtes Gericht für zwei Personen.","27","32","2","einfach","haehnchen","pfanne","[{""name"":""Hähnchenbrust"",""amount"":400,""unit"":""g"",""category"":""fleisch""},{""name"":""Gurke"",""amount"":2,""unit"":""Stück"",""category"":""gemuese""},{""name"":""Paprika"",""amount"":2,""unit"":""Stück"",""category"":""gemuese""},{""name"":""Olivenöl"",""amount"":2,""unit"":""EL"",""category"":""sonstiges""},{""name"":""Salz & Pfeffer"",""amount"":1,""unit"":""Prise"",""category"":""gewuerze""}]","[""Alle Zutaten vorbereiten und schneiden."",""Fleisch würzen und in der Pfanne/Ofen garen."",""Weitere Zutaten hinzufügen und nach Rezeptart zubereiten."",""Anrichten und sofort servieren.""]","{""calories"":267,""protein"":32,""carbs"":37,""fat"":25,""fiber"":7}","[""pfanne"",""haehnchen"",""mediterran""]"
"r039","clara-pascal","Schweinefilet-Pfanne mediterran","Abendessen","true","Schweinefilet-Pfanne mediterran – ein gesundes, hausgemachtes Gericht für zwei Personen.","28","33","2","einfach","schwein","pfanne","[{""name"":""Schweinefleisch"",""amount"":300,""unit"":""g"",""category"":""fleisch""},{""name"":""Paprika"",""amount"":2,""unit"":""Stück"",""category"":""gemuese""},{""name"":""Sahne"",""amount"":2,""unit"":""Stück"",""category"":""milchprodukte""},{""name"":""Olivenöl"",""amount"":2,""unit"":""EL"",""category"":""sonstiges""},{""name"":""Salz & Pfeffer"",""amount"":1,""unit"":""Prise"",""category"":""gewuerze""}]","[""Alle Zutaten vorbereiten und schneiden."",""Fleisch würzen und in der Pfanne/Ofen garen."",""Weitere Zutaten hinzufügen und nach Rezeptart zubereiten."",""Anrichten und sofort servieren.""]","{""calories"":268,""protein"":33,""carbs"":38,""fat"":8,""fiber"":2}","[""pfanne"",""schwein"",""mediterran""]"
"r040","clara-pascal","Rindergulasch-Pfanne mediterran","Abendessen","true","Rindergulasch-Pfanne mediterran – ein gesundes, hausgemachtes Gericht für zwei Personen.","29","34","2","einfach","rind","pfanne","[{""name"":""Rinderhackfleisch"",""amount"":350,""unit"":""g"",""category"":""fleisch""},{""name"":""Zwiebel"",""amount"":2,""unit"":""Stück"",""category"":""gemuese""},{""name"":""Paprika"",""amount"":2,""unit"":""Stück"",""category"":""gemuese""},{""name"":""Olivenöl"",""amount"":2,""unit"":""EL"",""category"":""sonstiges""},{""name"":""Salz & Pfeffer"",""amount"":1,""unit"":""Prise"",""category"":""gewuerze""}]","[""Alle Zutaten vorbereiten und schneiden."",""Fleisch würzen und in der Pfanne/Ofen garen."",""Weitere Zutaten hinzufügen und nach Rezeptart zubereiten."",""Anrichten und sofort servieren.""]","{""calories"":269,""protein"":34,""carbs"":39,""fat"":9,""fiber"":3}","[""pfanne"",""rind"",""mediterran""]"
"r041","clara-pascal","Hähnchen-Salat-Wrap mediterran","Abendessen","true","Hähnchen-Salat-Wrap mediterran – ein gesundes, hausgemachtes Gericht für zwei Personen.","10","35","2","einfach","haehnchen","wrap","[{""name"":""Hähnchenbrust"",""amount"":400,""unit"":""g"",""category"":""fleisch""},{""name"":""Salat"",""amount"":150,""unit"":""g"",""category"":""gemuese""},{""name"":""Tomaten"",""amount"":2,""unit"":""Stück"",""category"":""gemuese""},{""name"":""Gurke"",""amount"":2,""unit"":""Stück"",""category"":""gemuese""},{""name"":""Olivenöl"",""amount"":2,""unit"":""EL"",""category"":""sonstiges""},{""name"":""Salz & Pfeffer"",""amount"":1,""unit"":""Prise"",""category"":""gewuerze""}]","[""Alle Zutaten vorbereiten und schneiden."",""Fleisch würzen und in der Pfanne/Ofen garen."",""Weitere Zutaten hinzufügen und nach Rezeptart zubereiten."",""Anrichten und sofort servieren.""]","{""calories"":270,""protein"":35,""carbs"":40,""fat"":10,""fiber"":4}","[""wrap"",""haehnchen"",""mediterran""]"
"r042","clara-pascal","Rinderhack-Wrap mediterran","Abendessen","true","Rinderhack-Wrap mediterran – ein gesundes, hausgemachtes Gericht für zwei Personen.","11","36","2","einfach","rind","wrap","[{""name"":""Rinderhackfleisch"",""amount"":300,""unit"":""g"",""category"":""fleisch""},{""name"":""Salat"",""amount"":150,""unit"":""g"",""category"":""gemuese""},{""name"":""Tomaten"",""amount"":2,""unit"":""Stück"",""category"":""gemuese""},{""name"":""Paprika"",""amount"":2,""unit"":""Stück"",""category"":""gemuese""},{""name"":""Olivenöl"",""amount"":2,""unit"":""EL"",""category"":""sonstiges""},{""name"":""Salz & Pfeffer"",""amount"":1,""unit"":""Prise"",""category"":""gewuerze""}]","[""Alle Zutaten vorbereiten und schneiden."",""Fleisch würzen und in der Pfanne/Ofen garen."",""Weitere Zutaten hinzufügen und nach Rezeptart zubereiten."",""Anrichten und sofort servieren.""]","{""calories"":271,""protein"":36,""carbs"":41,""fat"":11,""fiber"":5}","[""wrap"",""rind"",""mediterran""]"
"r043","clara-pascal","Schweinefilet-Wrap mediterran","Abendessen","true","Schweinefilet-Wrap mediterran – ein gesundes, hausgemachtes Gericht für zwei Personen.","12","37","2","einfach","schwein","wrap","[{""name"":""Schweinefleisch"",""amount"":350,""unit"":""g"",""category"":""fleisch""},{""name"":""Salat"",""amount"":150,""unit"":""g"",""category"":""gemuese""},{""name"":""Gurke"",""amount"":2,""unit"":""Stück"",""category"":""gemuese""},{""name"":""Olivenöl"",""amount"":2,""unit"":""EL"",""category"":""sonstiges""},{""name"":""Salz & Pfeffer"",""amount"":1,""unit"":""Prise"",""category"":""gewuerze""}]","[""Alle Zutaten vorbereiten und schneiden."",""Fleisch würzen und in der Pfanne/Ofen garen."",""Weitere Zutaten hinzufügen und nach Rezeptart zubereiten."",""Anrichten und sofort servieren.""]","{""calories"":272,""protein"":37,""carbs"":42,""fat"":12,""fiber"":6}","[""wrap"",""schwein"",""mediterran""]"
"r044","clara-pascal","Tomaten-Mozzarella-Wrap mediterran","Abendessen","true","Tomaten-Mozzarella-Wrap mediterran – ein gesundes, hausgemachtes Gericht für zwei Personen.","13","38","2","einfach","keins","wrap","[{""name"":""Tomaten"",""amount"":2,""unit"":""Stück"",""category"":""gemuese""},{""name"":""Salat"",""amount"":150,""unit"":""g"",""category"":""gemuese""},{""name"":""Olivenöl"",""amount"":2,""unit"":""EL"",""category"":""sonstiges""},{""name"":""Salz & Pfeffer"",""amount"":1,""unit"":""Prise"",""category"":""gewuerze""}]","[""Alle Zutaten vorbereiten und schneiden."",""Gemüse vorbereiten und würzen."",""Weitere Zutaten hinzufügen und nach Rezeptart zubereiten."",""Anrichten und sofort servieren.""]","{""calories"":273,""protein"":38,""carbs"":43,""fat"":13,""fiber"":7}","[""wrap"",""vegetarisch"",""mediterran""]"
"r045","clara-pascal","Hähnchen-Avocado-Wrap mediterran","Abendessen","true","Hähnchen-Avocado-Wrap mediterran – ein gesundes, hausgemachtes Gericht für zwei Personen.","14","39","2","einfach","haehnchen","wrap","[{""name"":""Hähnchenbrust"",""amount"":300,""unit"":""g"",""category"":""fleisch""},{""name"":""Avocado"",""amount"":2,""unit"":""Stück"",""category"":""gemuese""},{""name"":""Salat"",""amount"":150,""unit"":""g"",""category"":""gemuese""},{""name"":""Tomaten"",""amount"":2,""unit"":""Stück"",""category"":""gemuese""},{""name"":""Olivenöl"",""amount"":2,""unit"":""EL"",""category"":""sonstiges""},{""name"":""Salz & Pfeffer"",""amount"":1,""unit"":""Prise"",""category"":""gewuerze""}]","[""Alle Zutaten vorbereiten und schneiden."",""Fleisch würzen und in der Pfanne/Ofen garen."",""Weitere Zutaten hinzufügen und nach Rezeptart zubereiten."",""Anrichten und sofort servieren.""]","{""calories"":274,""protein"":39,""carbs"":44,""fat"":14,""fiber"":2}","[""wrap"",""haehnchen"",""mediterran""]"
"r046","clara-pascal","Paprika-Hack-Wrap mediterran","Abendessen","true","Paprika-Hack-Wrap mediterran – ein gesundes, hausgemachtes Gericht für zwei Personen.","15","40","2","einfach","rind","wrap","[{""name"":""Rinderhackfleisch"",""amount"":350,""unit"":""g"",""category"":""fleisch""},{""name"":""Paprika"",""amount"":2,""unit"":""Stück"",""category"":""gemuese""},{""name"":""Salat"",""amount"":150,""unit"":""g"",""category"":""gemuese""},{""name"":""Olivenöl"",""amount"":2,""unit"":""EL"",""category"":""sonstiges""},{""name"":""Salz & Pfeffer"",""amount"":1,""unit"":""Prise"",""category"":""gewuerze""}]","[""Alle Zutaten vorbereiten und schneiden."",""Fleisch würzen und in der Pfanne/Ofen garen."",""Weitere Zutaten hinzufügen und nach Rezeptart zubereiten."",""Anrichten und sofort servieren.""]","{""calories"":275,""protein"":15,""carbs"":45,""fat"":15,""fiber"":3}","[""wrap"",""rind"",""mediterran""]"
"r047","clara-pascal","Gurkensalat-Wrap mediterran","Abendessen","true","Gurkensalat-Wrap mediterran – ein gesundes, hausgemachtes Gericht für zwei Personen.","16","41","2","mittel","keins","wrap","[{""name"":""Gurke"",""amount"":2,""unit"":""Stück"",""category"":""gemuese""},{""name"":""Salat"",""amount"":150,""unit"":""g"",""category"":""gemuese""},{""name"":""Tomaten"",""amount"":2,""unit"":""Stück"",""category"":""gemuese""},{""name"":""Olivenöl"",""amount"":2,""unit"":""EL"",""category"":""sonstiges""},{""name"":""Salz & Pfeffer"",""amount"":1,""unit"":""Prise"",""category"":""gewuerze""}]","[""Alle Zutaten vorbereiten und schneiden."",""Gemüse vorbereiten und würzen."",""Weitere Zutaten hinzufügen und nach Rezeptart zubereiten."",""Anrichten und sofort servieren.""]","{""calories"":276,""protein"":16,""carbs"":46,""fat"":16,""fiber"":4}","[""wrap"",""vegetarisch"",""mediterran""]"
"r048","clara-pascal","Schweinehack-Wrap mediterran","Abendessen","true","Schweinehack-Wrap mediterran – ein gesundes, hausgemachtes Gericht für zwei Personen.","17","42","2","mittel","schwein","wrap","[{""name"":""Schweinefleisch"",""amount"":300,""unit"":""g"",""category"":""fleisch""},{""name"":""Salat"",""amount"":150,""unit"":""g"",""category"":""gemuese""},{""name"":""Tomaten"",""amount"":2,""unit"":""Stück"",""category"":""gemuese""},{""name"":""Olivenöl"",""amount"":2,""unit"":""EL"",""category"":""sonstiges""},{""name"":""Salz & Pfeffer"",""amount"":1,""unit"":""Prise"",""category"":""gewuerze""}]","[""Alle Zutaten vorbereiten und schneiden."",""Fleisch würzen und in der Pfanne/Ofen garen."",""Weitere Zutaten hinzufügen und nach Rezeptart zubereiten."",""Anrichten und sofort servieren.""]","{""calories"":277,""protein"":17,""carbs"":47,""fat"":17,""fiber"":5}","[""wrap"",""schwein"",""mediterran""]"
"r049","clara-pascal","Hähnchen-Paprika-Wrap mediterran","Abendessen","true","Hähnchen-Paprika-Wrap mediterran – ein gesundes, hausgemachtes Gericht für zwei Personen.","18","43","2","mittel","haehnchen","wrap","[{""name"":""Hähnchenbrust"",""amount"":350,""unit"":""g"",""category"":""fleisch""},{""name"":""Paprika"",""amount"":2,""unit"":""Stück"",""category"":""gemuese""},{""name"":""Salat"",""amount"":150,""unit"":""g"",""category"":""gemuese""},{""name"":""Olivenöl"",""amount"":2,""unit"":""EL"",""category"":""sonstiges""},{""name"":""Salz & Pfeffer"",""amount"":1,""unit"":""Prise"",""category"":""gewuerze""}]","[""Alle Zutaten vorbereiten und schneiden."",""Fleisch würzen und in der Pfanne/Ofen garen."",""Weitere Zutaten hinzufügen und nach Rezeptart zubereiten."",""Anrichten und sofort servieren.""]","{""calories"":278,""protein"":18,""carbs"":48,""fat"":18,""fiber"":6}","[""wrap"",""haehnchen"",""mediterran""]"
